Iteration:230 Test-Acc:0.8807 Train-Acc:0.8
Iteration:231 Test-Acc:0.8809 Train-Acc:0.798
Iteration:232 Test-Acc:0.8805 Train-Acc:0.82
Iteration:233 Test-Acc:0.8795 Train-Acc:0.794
Iteration:234 Test-Acc:0.8807 Train-Acc:0.806
Iteration:235 Test-Acc:0.8806 Train-Acc:0.808
Iteration:236 Test-Acc:0.8787 Train-Acc:0.802
Iteration:237 Test-Acc:0.8796 Train-Acc:0.81
Iteration:238 Test-Acc:0.8766 Train-Acc:0.805
Iteration:239 Test-Acc:0.8781 Train-Acc:0.792
Iteration:240 Test-Acc:0.8787 Train-Acc:0.809
Iteration:241 Test-Acc:0.8762 Train-Acc:0.802
Iteration:242 Test-Acc:0.8775 Train-Acc:0.811
Iteration:243 Test-Acc:0.8804 Train-Acc:0.814
Iteration:244 Test-Acc:0.8794 Train-Acc:0.804
Iteration:245 Test-Acc:0.8788 Train-Acc:0.801
Iteration:246 Test-Acc:0.8777 Train-Acc:0.795
Iteration:247 Test-Acc:0.8785 Train-Acc:0.808
Iteration:248 Test-Acc:0.8788 Train-Acc:0.803
Iteration:249 Test-Acc:0.8773 Train-Acc:0.813
Iteration:250 Test-Acc:0.8786 Train-Acc:0.808
Iteration:251 Test-Acc:0.8787 Train-Acc:0.803
Iteration:252 Test-Acc:0.8789 Train-Acc:0.812
Iteration:253 Test-Acc:0.8792 Train-Acc:0.804
Iteration:254 Test-Acc:0.8779 Train-Acc:0.815
Iteration:255 Test-Acc:0.8796 Train-Acc:0.811
Iteration:256 Test-Acc:0.8798 Train-Acc:0.806
Iteration:257 Test-Acc:0.88 Train-Acc:0.803
Iteration:258 Test-Acc:0.8776 Train-Acc:0.795
Iteration:259 Test-Acc:0.8798 Train-Acc:0.803
Iteration:260 Test-Acc:0.8799 Train-Acc:0.805
Iteration:261 Test-Acc:0.8789 Train-Acc:0.807
Iteration:262 Test-Acc:0.8784 Train-Acc:0.804
Iteration:263 Test-Acc:0.8792 Train-Acc:0.806
Iteration:264 Test-Acc:0.8777 Train-Acc:0.796
Iteration:265 Test-Acc:0.8785 Train-Acc:0.821
Iteration:266 Test-Acc:0.8794 Train-Acc:0.81
Iteration:267 Test-Acc:0.8783 Train-Acc:0.816
Iteration:268 Test-Acc:0.8777 Train-Acc:0.812
Iteration:269 Test-Acc:0.8791 Train-Acc:0.812
Iteration:270 Test-Acc:0.878 Train-Acc:0.813
